tenure_months,monthly_charges,total_charges,contract_type,has_internet_service,payment_method,num_support_calls,is_senior,num_0,num_1,num_2,num_3,num_4,num_5,churn
11,47.05,510.28,month-to-month,DSL,credit_card,5,0,-3.00335468188982,2.003063773423754,-2.2810702628857795,2.1545815688196877,1.039223095026696,-0.4536293530612412,0
72,32.48,2355.93,two-year,DSL,electronic_check,0,0,-2.443137586739863,-0.09850072877843541,-0.8045369789959674,0.011338248536661827,1.0942258975618773,-1.54995327900623,1
31,28.93,847.43,month-to-month,DSL,electronic_check,2,1,-1.0986646215376918,-0.7861805181382343,-1.2830768577673737,-1.3612640756195442,0.717256603545235,-1.7946055553404994,0
21,32.48,674.72,two-year,Fiber optic,mailed_check,2,0,-0.7913166411081645,0.039014651433113,1.1240970201708302,0.9384715792935742,0.11210117469129433,-2.1677964755857495,1
4,33.18,122.77,month-to-month,No,credit_card,5,0,-1.0491462618883023,0.8931258163026154,-0.9239341931849517,0.084927687342873,0.30333742683558607,-0.7279706044832566,1
4,35.64,151.8,month-to-month,Fiber optic,credit_card,1,0,-1.3496998426465918,-0.7512050391918974,-0.5709660889042953,0.40849483045724577,0.8805714338637589,1.171357345748048,0
1,25.18,41.82,two-year,Fiber optic,bank_transfer,4,0,0.6583792476016384,0.9473734352878833,0.8362679635467207,0.4383096155919301,-0.6508229643160227,-1.0441644356271313,0
48,17.01,844.47,two-year,Fiber optic,bank_transfer,5,1,-0.3408272967205994,2.3660610998754636,0.11587237770400027,0.7885313910581517,-0.4779866978453385,-0.9331750318174994,1
22,41.1,916.08,one-year,No,electronic_check,0,0,-1.8522103220348891,-0.10633972650117218,-2.537961689015127,0.0029006248807657196,0.9585135604211101,-2.96423265440134,0
29,27.71,743.05,month-to-month,DSL,bank_transfer,2,0,-1.1876929032090007,-0.7424344684982325,-0.99132056807404,-0.3155673607236687,0.7605357161007893,-0.8052402784726848,1
0,51.25,0.0,month-to-month,Fiber optic,bank_transfer,3,0,2.032469831373238,1.3856583954883448,-2.8382321171521845,2.2382220231018946,-1.007914916974621,-2.0625370772336016,0
84,41.66,3472.12,month-to-month,No,mailed_check,1,0,-1.880960574419227,-0.4783017414989498,-1.3023631145103098,-1.2237373653956554,1.0607132563263295,-0.15150209008525262,0
42,18.55,764.99,month-to-month,DSL,credit_card,2,0,0.1451058391916138,1.2052925463527453,0.23350707643315483,-0.5611431662188586,-0.32739638894494033,1.076014968109213,0
5,18.76,146.34,month-to-month,DSL,credit_card,3,0,-0.1819792513760744,-1.4774389853072059,-0.726727465568783,0.7088659177944151,0.4221623009891507,-1.9127055450588097,0
4,20.79,25.01,month-to-month,No,bank_transfer,1,0,-0.12516539902461865,-0.6429165548836366,1.4955664707733651,0.8853414834392396,0.06010337577187011,0.21897133095857224,1
